FPL_ID,fbref_id,Understat_ID,transfermarkt
168,5ff4ab71,11356,648195
169,c2731c10,9040,488362
170,d91f104d,11595,790992
171,d56b9520,9017,620322
172,1265a93a,8067,472423
173,aa888da7,11739,926135
174,ecad9aa5,10004,628451
175,5eae500a,594,96341
176,4315f30d,5648,344596
177,bf34eebd,11357,503987
178,d3d774cc,11633,938158
179,049a888d,11305,537860
180,9c36ed83,10048,776890
181,7c56da38,3300,344381
182,dc7f8a28,8497,568177
183,0cf321c8,12032,465555
184,fc8fcbd1,11383,805714
185,6a713852,9098,403151
186,b400bde0,618,134425
187,c81d773d,5590,258878
188,1df4a109,9451,711999
189,132a82f1,7589,475411
190,a6c58494,9274,538971
191,e34fc66d,6314,260827
192,da052c14,672,108354
193,ce4f40c7,8666,543387
194,0a3d6d2b,8430,578539
195,b3b9b8b8,11167,689637
196,0442183b,603,85177
197,fa9fa773,10698,512354
198,0562b7f1,3697,344152
199,ae4fc6a4,8706,479999
200,d0706b27,7603,392757
201,e5a76dfe,7702,258919
202,d79a8c87,1749,253341
203,a0666d3e,6104,207014
204,9e5708be,978,110864
205,15b287da,6145,356141
206,9b5ce51a,2182,262980
207,50e6dc35,5735,420002
208,077faf72,12152,743597
209,27f4f772,9834,196722
210,5cbd1eb0,8214,730893
211,778ef829,12408,493003
212,d00d45ab,11268,865993
213,45685411,9461,586834
214,3312f911,757,157506
215,8a7ff278,510,92572
216,4b542852,12409,744149
217,02b29014,1726,127187
218,ed5c0319,9983,595809
219,c1949191,8476,661053
220,59e6e5bf,5555,306024
221,0420d84f,585,68390
222,72c812f3,668,126665
223,4e015693,7438,505219
224,aa849a12,8720,417346
225,d0042ab9,985,348623
226,84c5ceea,9554,696589
227,728e9b2e,8366,329813
228,c5b7c315,1653,118534
229,4bcf39f6,3621,217115
230,fc15fb84,6756,584769
231,30d4a2e5,10291,404842
232,5ed97752,9307,623570
233,828657ff,9667,485706
234,230f0471,10292,424015
235,4806ec67,741,130164
236,15ea812b,1665,173504
237,890f108d,11984,670688
238,be927d03,631,14086
239,9a28eba4,900,204103
240,6639e500,922,203394
241,a36524bf,11728,461883
242,caaa7fab,12735,381469
243,a8748947,6835,123275
244,197640fd,6157,262226
245,a712ca2b,3203,272622
246,42dd1b56,10719,817612
247,6ca5ec4b,500,242631
248,2628fd2b,181,72476
249,c6e8cf1f,1537,245056
250,493924a7,983,183321
251,a755db8c,10717,735571
252,b561db50,4105,206040
253,28b40c9c,7184,145466
254,803ae100,910,226973
255,289601e6,8940,349701
