,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
22,True,True,100.0,100.0,103955,0,0,-3,3,0,3,1.1,0.6,1,Raheem,0.6,186,False,,2024-12-21T21:30:08.006504Z,67,103955.jpg,1.3,False,Sterling,0.8,False,,a,1,3,12,49114,187,156678,230,0.1,1.8,Sterling,241.0,2024-08-30,False,p103955,213,0,1,0,2,0,0,0,1,0,0,0,32,35.8,47.4,79.0,16.0,3,0.88,0.15,1.03,1.90,0,0,0,0,0,0,0,400,181,314,182,235,132,358,175,,,3.0,,,,0.37,0.0,0.06,0.43,0.8,0.85,36,17,335,163,388,186,221,67,1.27,0.0
23,True,True,100.0,100.0,466075,0,0,-2,2,1,2,2.3,1.8,1,Riccardo,1.8,578,False,,2025-01-12T22:00:08.460074Z,58,466075.jpg,2.6,False,Calafiori,1.3,False,,a,1,3,34,224656,1909,390115,883,0.3,5.9,Calafiori,106.0,2024-07-29,False,p466075,750,2,1,1,10,0,0,0,3,0,0,1,126,233.0,85.2,142.0,46.0,8,0.67,0.56,1.23,8.09,0,0,0,0,0,0,0,203,78,251,68,163,28,225,69,,,,,,,0.08,0.0,0.07,0.15,0.97,1.2,88,8,204,61,178,55,187,74,0.96,0.12
24,True,True,100.0,100.0,499169,0,0,0,0,0,3,2.1,1.6,7,Myles,1.6,597,False,,2025-01-23T00:00:08.472734Z,45,499169.jpg,1.7,False,Lewis-Skelly,0.2,False,,a,1,3,17,40137,4455,22185,349,0.4,3.8,Lewis-Skelly,241.0,2022-12-04,False,p499169,549,1,0,2,7,0,0,0,2,1,0,0,117,103.6,67.1,29.0,19.9,7,0.04,0.21,0.25,5.55,0,0,0,0,0,0,0,329,151,279,170,318,173,339,168,,,,,,,0.01,0.0,0.03,0.04,0.91,1.15,419,260,215,93,319,145,349,112,1.15,0.33
25,True,True,100.0,100.0,195384,0,0,0,0,0,3,2.1,1.6,1,Mikel,1.6,633,False,,2025-01-27T01:00:09.275216Z,60,195384.jpg,2.4,False,Merino,0.1,False,,a,1,3,39,24995,135,22618,143,0.3,6.5,Merino,200.0,2024-08-27,False,p195384,759,2,1,2,9,0,0,0,2,0,0,2,165,203.6,133.3,225.0,56.1,8,2.24,0.70,2.94,7.12,0,0,0,0,0,0,0,232,101,192,124,97,63,184,100,,,,,,,0.27,0.0,0.08,0.35,0.84,1.07,76,49,226,103,216,95,495,177,0.95,0.24
35,True,True,100.0,100.0,215711,0,0,-3,3,0,3,2.8,2.8,1,Leon,2.8,28,False,,2024-12-09T09:30:06.119495Z,62,215711.jpg,2.2,False,Bailey,0.8,False,,a,2,7,44,164313,780,444455,737,0.5,7.1,Bailey,107.0,2021-08-04,False,p215711,1028,1,2,2,16,0,0,0,2,0,0,2,160,136.6,231.6,268.0,63.4,13,1.45,2.87,4.32,11.64,0,0,0,0,0,0,0,292,130,121,86,76,49,154,89,3.0,,4.0,,,,0.13,0.0,0.25,0.38,1.02,1.4,61,36,125,53,254,113,223,69,1.14,0.18
36,True,True,0.0,0.0,88894,0,0,-3,3,1,3,0.0,0.0,0,Ross,2.0,29,False,Calf injury - Expected back 15 Feb,2025-01-11T01:30:08.379812Z,52,88894.jpg,2.5,False,Barkley,0.2,False,,i,2,7,40,25956,3,89084,225,0.4,7.7,Barkley,241.0,2024-07-01,False,p88894,544,3,1,1,9,0,0,0,3,0,0,5,150,203.4,115.5,185.0,50.3,3,1.68,0.41,2.09,5.36,0,0,0,0,0,0,0,234,103,216,135,127,84,205,107,,,,,,,0.28,0.0,0.07,0.35,0.89,1.49,157,93,176,73,197,85,334,104,0.5,0.17
38,True,True,,,195546,0,0,-4,4,0,3,0.6,0.6,0,Emiliano,0.6,31,False,,,51,195546.jpg,0.9,False,Buendía Stati,0.1,False,,a,2,7,11,6963,25,15696,73,0.1,2.2,Buendia,10.0,2021-06-10,False,p195546,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,0,0.65,0.03,0.68,2.27,0,0,0,0,0,0,0,442,204,369,200,365,197,434,206,,,3.0,,,,0.66,0.0,0.03,0.69,2.3,2.02,178,107,331,160,494,233,489,176,0.0,0.0
39,True,True,0.0,0.0,199796,0,0,-1,1,0,2,0.0,0.0,0,Matty,3.0,32,False,Muscle injury - Expected back 25 Feb,2025-01-31T15:00:08.473024Z,44,199796.jpg,2.4,False,Cash,1.2,False,,i,2,7,38,196134,18,387625,5664,0.7,8.6,Cash,172.0,2020-09-03,False,p199796,1258,1,1,2,17,0,0,0,5,0,0,1,133,233.4,120.0,98.0,45.2,15,0.22,0.96,1.18,17.63,0,0,0,0,0,0,0,202,77,208,54,207,50,226,70,,,,,,,0.02,0.0,0.07,0.09,1.26,1.22,490,89,105,23,203,63,194,77,1.07,0.14
42,True,False,0.0,0.0,165659,0,0,0,0,0,2,0.0,0.0,0,Diego Carlos,0.0,35,False,loaned to Fenerbahçe,2025-01-03T19:30:08.711012Z,45,165659.jpg,2.1,False,Santos Silva,0.3,False,,u,2,7,21,50956,0,91260,376,0.0,4.7,Diego Carlos,30.0,2022-06-10,False,p165659,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,8,0.64,0.08,0.72,11.88,0,0,0,0,0,0,0,275,101,420,144,273,85,333,109,,,,,,,0.07,0.0,0.01,0.08,1.29,1.63,364,56,597,229,260,83,299,110,0.87,0.22
43,True,True,,,101188,0,0,1,-1,2,2,3.0,3.0,1,Lucas,3.0,36,False,,,46,101188.jpg,2.6,False,Digne,6.9,False,,a,2,7,63,1683911,3668,1240855,5276,0.7,13.7,Digne,73.0,2022-01-13,False,p101188,1770,0,4,3,29,0,0,0,3,0,0,6,278,396.2,467.3,103.0,96.8,21,0.77,2.97,3.74,24.93,0,0,0,0,0,0,0,94,35,39,7,202,46,80,10,2.0,,2.0,,,,0.04,0.0,0.15,0.19,1.27,1.47,347,48,107,24,169,54,53,18,1.07,0.15
45,True,True,100.0,100.0,476344,0,0,-3,3,0,4,0.4,0.4,0,Jhon,0.4,38,False,,2024-12-27T00:30:09.111478Z,57,476344.jpg,2.6,False,Durán,2.3,False,,a,2,7,53,1376545,1169,1263577,16142,0.1,9.3,Duran,48.0,2023-01-23,False,p476344,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334.0,67.5,4,5.11,0.24,5.35,9.94,0,0,0,0,0,0,0,173,19,278,32,57,20,135,21,,,,,,,0.74,0.0,0.03,0.77,1.44,2.03,94,25,363,39,177,22,127,19,0.58,0.29
49,True,True,100.0,100.0,226944,0,0,0,0,0,3,2.2,2.2,2,Boubacar,2.2,42,False,,2024-11-11T16:00:06.089849Z,50,226944.jpg,1.9,False,Kamara,0.0,False,,a,2,7,28,6363,144,4487,108,0.4,5.6,Kamara,73.0,2022-06-11,False,p226944,1033,0,0,2,18,0,0,0,2,0,0,1,170,203.8,106.2,34.0,34.5,12,0.27,0.31,0.58,14.66,0,0,0,0,0,0,0,231,100,231,144,309,167,270,137,,,,,,,0.02,0.0,0.03,0.05,1.28,1.57,207,128,167,69,290,129,568,220,1.05,0.17
51,True,True,100.0,100.0,199798,0,0,-1,1,2,2,2.8,2.8,1,Ezri,2.8,44,False,,2024-11-21T08:30:08.587167Z,44,199798.jpg,2.3,False,Konsa Ngoyo,6.5,False,,a,2,7,50,1007816,2419,1569478,3063,0.6,11.4,Konsa,241.0,2019-07-11,False,p199798,1901,1,0,2,34,0,0,0,0,0,0,5,236,331.4,81.6,81.0,49.4,22,0.59,0.41,1.00,26.78,0,0,0,0,0,0,0,134,50,258,71,226,61,213,65,,,,,,,0.03,0.0,0.02,0.05,1.27,1.61,491,90,116,29,220,69,55,19,1.04,0.09
52,True,True,100.0,100.0,441302,0,0,-5,5,0,2,1.2,1.2,1,Ian,1.2,45,False,,2024-11-14T10:00:07.838636Z,45,441302.jpg,1.1,False,Maatsen,1.2,False,,a,2,7,19,80326,340,324839,504,0.3,4.2,Maatsen,152.0,2024-06-28,False,p441302,445,0,1,0,9,0,0,0,2,0,0,0,67,110.2,190.6,92.0,39.4,3,0.17,1.43,1.60,6.48,0,0,0,0,0,0,0,318,115,146,30,213,53,247,76,,,,,,,0.03,0.0,0.29,0.32,1.31,1.82,384,67,253,72,405,132,189,76,0.61,0.0
54,True,True,100.0,100.0,98980,0,0,0,0,1,1,2.8,2.8,2,Emiliano,2.8,47,False,,2025-01-11T01:30:08.408211Z,50,98980.jpg,2.7,False,Martínez Romero,11.3,False,,a,2,7,65,1207298,6197,1449628,6834,0.6,13.0,Martinez,10.0,2020-09-16,False,p98980,2115,0,0,3,36,0,1,0,2,0,62,2,261,533.4,0.0,0.0,53.4,24,0.00,0.01,0.01,29.40,0,0,0,0,0,0,0,28,9,734,77,728,73,197,9,,,,,,,0.0,2.64,0.0,0.0,1.25,1.53,194,8,122,10,158,28,30,6,1.02,0.13
55,True,True,100.0,100.0,122806,0,0,-3,3,0,3,0.6,0.6,1,John,0.6,48,False,,2025-01-04T19:30:07.992156Z,52,122806.jpg,2.2,False,McGinn,0.6,False,,a,2,7,44,95129,296,257020,266,0.1,8.5,McGinn,243.0,2018-08-08,False,p122806,1360,0,3,3,24,0,0,0,4,0,0,1,196,138.0,336.2,159.0,63.2,17,1.89,1.96,3.85,19.54,0,0,0,0,0,0,0,288,126,67,52,144,90,156,90,,,,,,,0.13,0.0,0.13,0.26,1.29,1.59,159,95,332,161,249,110,238,72,1.12,0.2
56,True,True,0.0,0.0,149484,0,0,-1,1,1,2,0.0,0.0,0,Tyrone,2.6,49,False,Knee injury - Expected back 15 Feb,2025-01-27T01:00:08.420699Z,44,149484.jpg,2.7,False,Mings,0.1,False,,i,2,7,16,21526,7,19430,714,0.6,3.6,Mings,241.0,2019-07-08,False,p149484,467,0,0,1,5,0,0,0,1,0,0,3,71,104.2,26.7,20.0,15.1,5,0.21,0.06,0.27,4.93,0,0,0,0,0,0,0,326,117,354,116,351,117,364,122,,,,,,,0.04,0.0,0.01,0.05,0.95,0.96,483,85,128,33,153,44,430,150,0.96,0.19
