date,time,week,home_team,home_xg,score,away_xg,away_team
2024-09-29,14:00,6,https://resources.premierleague.com/premierleague/badges/70/t40.png,1.2,2–2,0.8,https://resources.premierleague.com/premierleague/badges/70/t7.png
2024-09-29,16:30,6,https://resources.premierleague.com/premierleague/badges/70/t1.png,1.0,0–3,4.4,https://resources.premierleague.com/premierleague/badges/70/t6.png
2024-09-30,20:00,6,https://resources.premierleague.com/premierleague/badges/70/t91.png,1.3,3–1,0.6,https://resources.premierleague.com/premierleague/badges/70/t20.png
2024-10-05,15:00,7,https://resources.premierleague.com/premierleague/badges/70/t3.png,2.8,3–1,0.6,https://resources.premierleague.com/premierleague/badges/70/t20.png
2024-10-05,15:00,7,https://resources.premierleague.com/premierleague/badges/70/t94.png,4.2,5–3,1.0,https://resources.premierleague.com/premierleague/badges/70/t39.png
2024-10-05,12:30,7,https://resources.premierleague.com/premierleague/badges/70/t31.png,0.6,0–1,1.4,https://resources.premierleague.com/premierleague/badges/70/t14.png
2024-10-05,17:30,7,https://resources.premierleague.com/premierleague/badges/70/t11.png,0.7,0–0,2.1,https://resources.premierleague.com/premierleague/badges/70/t4.png
2024-10-05,15:00,7,https://resources.premierleague.com/premierleague/badges/70/t13.png,0.8,1–0,2.1,https://resources.premierleague.com/premierleague/badges/70/t91.png
2024-10-05,15:00,7,https://resources.premierleague.com/premierleague/badges/70/t43.png,1.6,3–2,2.6,https://resources.premierleague.com/premierleague/badges/70/t54.png
2024-10-05,15:00,7,https://resources.premierleague.com/premierleague/badges/70/t21.png,3.6,4–1,0.6,https://resources.premierleague.com/premierleague/badges/70/t40.png
2024-10-06,14:00,7,https://resources.premierleague.com/premierleague/badges/70/t7.png,0.5,0–0,0.6,https://resources.premierleague.com/premierleague/badges/70/t1.png
2024-10-06,16:30,7,https://resources.premierleague.com/premierleague/badges/70/t36.png,1.8,3–2,1.3,https://resources.premierleague.com/premierleague/badges/70/t6.png
2024-10-06,14:00,7,https://resources.premierleague.com/premierleague/badges/70/t8.png,2.3,1–1,0.9,https://resources.premierleague.com/premierleague/badges/70/t17.png
2024-10-19,17:30,8,https://resources.premierleague.com/premierleague/badges/70/t91.png,1.8,2–0,0.7,https://resources.premierleague.com/premierleague/badges/70/t3.png
2024-10-19,15:00,8,https://resources.premierleague.com/premierleague/badges/70/t54.png,1.8,1–3,1.6,https://resources.premierleague.com/premierleague/badges/70/t7.png
2024-10-19,15:00,8,https://resources.premierleague.com/premierleague/badges/70/t40.png,1.3,0–2,1.7,https://resources.premierleague.com/premierleague/badges/70/t11.png
2024-10-19,15:00,8,https://resources.premierleague.com/premierleague/badges/70/t1.png,1.3,2–1,0.9,https://resources.premierleague.com/premierleague/badges/70/t94.png
2024-10-19,15:00,8,https://resources.premierleague.com/premierleague/badges/70/t4.png,2.0,0–1,1.1,https://resources.premierleague.com/premierleague/badges/70/t36.png
2024-10-19,15:00,8,https://resources.premierleague.com/premierleague/badges/70/t20.png,2.1,2–3,3.1,https://resources.premierleague.com/premierleague/badges/70/t13.png
2024-10-19,12:30,8,https://resources.premierleague.com/premierleague/badges/70/t6.png,1.9,4–1,0.8,https://resources.premierleague.com/premierleague/badges/70/t21.png
2024-10-20,16:30,8,https://resources.premierleague.com/premierleague/badges/70/t14.png,1.9,2–1,1.0,https://resources.premierleague.com/premierleague/badges/70/t8.png
2024-10-20,14:00,8,https://resources.premierleague.com/premierleague/badges/70/t39.png,0.8,1–2,1.6,https://resources.premierleague.com/premierleague/badges/70/t43.png
2024-10-21,20:00,8,https://resources.premierleague.com/premierleague/badges/70/t17.png,1.7,1–0,1.0,https://resources.premierleague.com/premierleague/badges/70/t31.png
2024-10-25,20:00,9,https://resources.premierleague.com/premierleague/badges/70/t13.png,0.8,1–3,1.7,https://resources.premierleague.com/premierleague/badges/70/t17.png
