id,name,team,position,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
110,Wissa,4,4,2,2,72,0,0,0,2,0,0,0,0,0,0,0,7,5.0,0.8,2.0,0.8,1,0.00,0.01,0.01,2.52
110,Wissa,4,4,8,3,90,1,0,0,1,0,0,0,0,0,0,2,36,41.2,37.1,69.0,14.7,1,1.09,0.25,1.34,1.57
110,Wissa,4,4,7,4,45,1,0,0,2,0,0,0,0,0,0,2,31,33.8,4.8,35.0,7.4,1,0.34,0.00,0.34,0.68
110,Wissa,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
110,Wissa,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
110,Wissa,4,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
110,Wissa,4,4,1,8,24,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.7,2.0,0.4,0,0.00,0.01,0.01,0.36
110,Wissa,4,4,10,9,90,1,1,0,3,0,0,0,0,0,0,1,38,40.6,2.9,55.0,9.9,1,1.44,0.02,1.46,1.30
110,Wissa,4,4,2,10,71,0,0,1,0,0,0,0,0,0,0,0,7,0.0,4.8,0.0,0.3,1,0.00,0.01,0.01,0.75
110,Wissa,4,4,13,11,90,2,0,0,2,0,0,0,0,0,0,3,60,67.4,6.0,46.0,11.9,1,0.60,0.02,0.62,2.61
110,Wissa,4,4,2,12,71,0,0,1,0,0,0,0,0,0,0,0,1,2.0,10.5,14.0,2.7,1,0.82,0.01,0.83,0.67
110,Wissa,4,4,8,13,90,1,0,0,1,0,0,0,0,0,0,2,36,42.6,15.5,21.0,7.9,1,0.78,0.05,0.83,1.06
58,Watkins,2,4,2,1,61,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.2,4.0,0.3,1,0.00,0.00,0.00,1.28
58,Watkins,2,4,2,2,64,0,0,1,0,0,0,0,0,0,0,0,-1,3.2,21.3,23.0,4.8,1,0.87,0.00,0.87,0.36
58,Watkins,2,4,5,3,60,0,1,1,0,0,0,0,0,0,0,0,12,17.2,12.1,26.0,5.5,1,0.71,0.01,0.72,0.17
58,Watkins,2,4,13,4,83,2,0,0,2,0,0,0,0,0,0,3,52,66.2,15.3,89.0,17.1,1,1.18,0.07,1.25,0.81
58,Watkins,2,4,6,5,90,1,0,0,1,0,0,0,0,0,0,0,30,32.0,2.8,34.0,6.9,1,0.34,0.06,0.40,0.51
58,Watkins,2,4,11,6,83,1,1,0,2,0,0,0,0,0,0,2,38,48.8,15.4,41.0,10.5,1,0.40,0.13,0.53,1.12
58,Watkins,2,4,2,7,90,0,0,1,0,0,0,0,0,0,0,0,4,0.6,14.3,16.0,3.1,1,0.06,0.06,0.12,0.52
58,Watkins,2,4,8,8,74,1,0,0,1,0,0,0,0,0,0,2,31,35.2,2.6,38.0,7.6,1,0.41,0.00,0.41,1.54
58,Watkins,2,4,2,9,81,0,0,1,0,0,0,0,0,0,0,0,14,11.4,22.6,53.0,8.7,1,0.35,0.23,0.58,0.20
58,Watkins,2,4,2,10,90,0,0,0,4,0,0,0,0,0,0,0,-6,0.0,0.5,10.0,0.6,1,0.46,0.00,0.46,2.44
58,Watkins,2,4,2,11,64,0,0,0,1,0,0,0,0,0,0,0,1,0.0,2.1,21.0,1.7,1,0.36,0.01,0.37,1.18
58,Watkins,2,4,7,12,90,1,0,0,2,0,0,0,0,0,0,1,28,41.6,2.1,62.0,10.6,1,1.30,0.02,1.32,1.26
58,Watkins,2,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
566,Strand Larsen,20,4,2,1,83,0,0,0,2,0,0,0,0,0,0,0,2,2.4,1.9,23.0,2.7,1,0.08,0.00,0.08,1.24
566,Strand Larsen,20,4,6,2,90,1,0,0,6,0,0,0,0,0,0,0,35,44.2,11.8,25.0,8.1,1,0.58,0.16,0.74,1.56
566,Strand Larsen,20,4,2,3,85,0,0,0,1,0,0,0,0,0,0,0,6,1.4,11.2,4.0,1.7,1,0.00,0.04,0.04,0.89
566,Strand Larsen,20,4,5,4,85,0,1,0,2,0,0,0,0,0,0,0,14,16.0,16.2,21.0,5.3,1,0.13,0.18,0.31,0.83
566,Strand Larsen,20,4,2,5,64,0,0,1,0,0,0,0,0,0,0,0,6,3.4,0.9,24.0,2.8,1,0.05,0.01,0.06,0.13
566,Strand Larsen,20,4,2,6,67,0,0,0,2,0,0,0,0,0,0,0,4,0.0,14.4,8.0,2.0,1,0.04,0.03,0.07,2.39
566,Strand Larsen,20,4,6,7,90,1,0,0,5,0,0,0,0,0,0,0,34,37.4,1.2,23.0,6.2,1,0.16,0.00,0.16,4.25
566,Strand Larsen,20,4,9,8,79,1,0,0,1,0,0,0,0,0,0,3,31,37.0,0.3,17.0,5.4,1,0.54,0.00,0.54,1.12
566,Strand Larsen,20,4,1,9,90,0,0,0,2,0,0,0,1,0,0,0,10,12.4,10.5,54.0,7.7,1,0.24,0.00,0.24,1.31
566,Strand Larsen,20,4,8,10,90,1,0,0,2,0,0,0,0,0,0,2,38,47.2,23.2,38.0,10.8,1,0.66,0.03,0.69,2.51
566,Strand Larsen,20,4,2,11,72,0,0,1,0,0,0,0,0,0,0,0,7,2.2,4.6,17.0,2.4,1,0.04,0.00,0.04,0.48
566,Strand Larsen,20,4,5,12,90,0,1,0,1,0,0,0,0,0,0,0,18,14.6,11.7,6.0,3.2,1,0.09,0.03,0.12,1.03
566,Strand Larsen,20,4,11,13,90,2,0,0,4,0,0,0,1,0,0,2,51,69.2,3.8,50.0,12.3,1,0.25,0.01,0.26,3.19
617,Evanilson,3,4,2,2,71,0,0,1,0,0,0,0,0,0,0,0,7,11.2,2.8,35.0,4.9,1,0.75,0.00,0.75,0.59
617,Evanilson,3,4,2,3,64,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.8,7.0,0.6,1,0.20,0.07,0.27,1.71
617,Evanilson,3,4,0,4,67,0,0,1,0,0,0,1,0,0,0,0,0,3.2,12.0,35.0,5.0,1,0.91,0.08,0.99,0.47
617,Evanilson,3,4,2,5,75,0,0,0,3,0,0,0,0,0,0,0,6,3.0,23.9,7.0,3.4,1,0.04,0.24,0.28,1.66
617,Evanilson,3,4,9,6,75,1,0,0,1,0,0,0,0,0,0,3,34,34.8,1.2,28.0,6.4,1,0.44,0.00,0.44,0.58
617,Evanilson,3,4,2,7,80,0,0,0,1,0,0,0,0,0,0,0,7,1.4,10.5,20.0,3.2,1,0.12,0.16,0.28,0.76
617,Evanilson,3,4,5,8,81,0,1,1,0,0,0,0,0,0,0,0,17,1.4,12.2,16.0,3.0,1,0.04,0.04,0.08,0.68
617,Evanilson,3,4,8,9,26,1,0,0,1,0,0,0,0,0,0,3,28,33.4,0.6,23.0,5.7,0,0.04,0.00,0.04,0.48
617,Evanilson,3,4,7,10,77,1,0,1,0,0,0,0,0,0,0,1,32,38.6,0.8,36.0,7.5,1,0.47,0.00,0.47,0.65
617,Evanilson,3,4,8,11,90,1,0,0,3,0,0,0,0,0,0,2,35,41.4,23.3,25.0,9.0,1,0.97,0.01,0.98,1.48
617,Evanilson,3,4,2,12,90,0,0,0,2,0,0,0,0,0,0,0,2,3.0,3.4,54.0,6.0,1,0.51,0.01,0.52,0.94
617,Evanilson,3,4,12,13,76,0,3,0,2,0,0,0,0,0,0,1,39,11.8,11.6,40.0,6.3,1,0.48,0.01,0.49,0.44
268,Delap,10,4,2,1,73,0,0,0,2,0,0,0,0,0,0,0,8,6.4,20.7,8.0,3.5,1,0.00,0.00,0.00,2.07
268,Delap,10,4,2,2,82,0,0,0,3,0,0,0,0,0,0,0,-3,1.6,0.9,6.0,0.9,1,0.00,0.01,0.01,3.30
268,Delap,10,4,7,3,80,1,0,0,1,0,0,0,0,0,0,1,30,38.2,13.3,33.0,8.5,1,0.21,0.00,0.21,0.90
268,Delap,10,4,1,4,58,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,3.0,7.0,0.8,1,0.21,0.00,0.21,1.22
268,Delap,10,4,1,5,72,0,0,0,1,0,0,0,1,0,0,0,6,0.0,0.8,4.0,0.4,1,0.05,0.03,0.08,2.13
268,Delap,10,4,12,6,90,2,0,0,2,0,0,0,1,0,0,3,56,68.2,1.3,55.0,12.5,1,0.57,0.00,0.57,0.82
268,Delap,10,4,6,7,82,1,0,0,4,0,0,0,0,0,0,0,32,41.2,20.6,38.0,10.0,1,0.12,0.03,0.15,3.71
268,Delap,10,4,2,8,78,0,0,0,2,0,0,0,0,0,0,0,3,0.0,3.3,14.0,1.5,1,0.20,0.01,0.21,1.17
268,Delap,10,4,5,9,17,1,0,0,1,0,0,0,0,0,0,0,27,30.0,0.0,21.0,5.1,0,0.16,0.00,0.16,0.76
268,Delap,10,4,2,10,74,0,0,1,0,0,0,0,0,0,0,0,7,2.8,11.3,2.0,1.6,1,0.00,0.01,0.01,0.39
268,Delap,10,4,11,11,69,1,1,0,1,0,0,0,1,0,0,3,41,46.4,22.3,37.0,10.6,1,0.99,0.04,1.03,1.28
268,Delap,10,4,2,12,80,0,0,0,1,0,0,0,0,0,0,0,0,1.4,2.0,51.0,5.4,1,0.99,0.01,1.00,0.72
268,Delap,10,4,2,13,90,0,0,0,1,0,0,0,0,0,0,0,-1,3.2,10.8,8.0,2.2,1,0.04,0.01,0.05,1.63
4,Havertz,1,4,12,1,90,1,1,1,0,0,0,0,0,0,0,3,48,54.8,24.1,46.0,12.5,1,0.45,0.04,0.49,0.47
4,Havertz,1,4,2,2,90,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,6.1,15.0,2.0,1,0.21,0.03,0.24,1.28
4,Havertz,1,4,8,3,90,1,0,0,1,0,0,0,0,0,0,2,34,47.0,24.8,30.0,10.2,1,0.77,0.05,0.82,1.83
4,Havertz,1,4,2,4,90,0,0,1,0,0,0,0,0,0,0,0,9,19.2,5.4,36.0,6.1,1,0.14,0.00,0.14,0.74
4,Havertz,1,4,2,5,90,0,0,0,2,0,0,0,0,0,0,0,8,15.0,0.0,17.0,3.2,1,0.06,0.00,0.06,2.16
4,Havertz,1,4,6,6,90,1,0,0,2,0,0,0,0,0,0,0,25,35.6,8.5,100.0,14.4,1,1.89,0.04,1.93,0.32
4,Havertz,1,4,8,7,90,1,0,0,1,0,0,0,0,0,0,2,34,37.6,14.9,82.0,13.5,1,0.77,0.04,0.81,0.65
4,Havertz,1,4,2,8,90,0,0,0,2,0,0,0,0,0,0,0,4,3.6,3.3,10.0,1.7,1,0.04,0.02,0.06,1.82
4,Havertz,1,4,2,9,90,0,0,0,2,0,0,0,0,0,0,0,3,4.4,25.3,17.0,4.7,1,0.17,0.47,0.64,0.85
4,Havertz,1,4,1,10,90,0,0,0,1,0,0,0,1,0,0,0,4,5.6,11.8,4.0,2.1,1,0.00,0.42,0.42,0.53
4,Havertz,1,4,1,11,90,0,0,0,1,0,0,0,1,0,0,0,2,12.0,13.2,2.0,2.7,1,0.00,0.01,0.01,1.28
4,Havertz,1,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4,Havertz,1,4,6,13,90,1,0,0,2,0,0,0,0,0,0,0,28,31.4,5.7,24.0,6.1,1,0.65,0.01,0.66,1.46
252,Raúl,9,4,1,1,12,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.87
252,Raúl,9,4,1,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.15
