player,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,SCA_SCA,SCA_SCA90,GCA_GCA,GCA_GCA90,Touches_Att3rd,Touches_AttPen,Take-Ons_Att,Take-Ons_Succ,Total_Cmp,Total_Att,Total_Cmp%,KP_,1/3_,PPA_,CrsPA_,Tackles_Tkl,Tackles_TklW,Int_,Tkl+Int_,Blocks_Sh,Clr_,Err_
Mason Mount,0,0,0,0,0,0.4,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18,3,2,66.7,1.09,0.73,0.0,0.0,8,2.91,0,0.0,36,6,4,0,76,95,80.0,4,5,0,0,6,2,0,6,1,0,0
Massimo Luongo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,11,0,0,0,32,45,71.1,0,1,0,0,5,3,2,7,2,2,0
Mateo Kovačić,3,0,3,3,0,1.2,1.2,2.1,3.3,0.21,0.0,0.21,0.21,0.21,0.08,0.14,0.23,0.08,0.23,28,6,21.4,1.95,0.42,0.11,0.5,43,2.99,4,0.28,413,12,28,16,1043,1122,93.0,21,112,16,0,35,20,12,47,0,11,0
Mateus Fernandes,1,1,2,1,0,2.8,2.8,1.4,4.2,0.06,0.06,0.12,0.06,0.12,0.17,0.09,0.26,0.17,0.26,21,9,42.9,1.29,0.55,0.05,0.11,34,2.08,3,0.18,288,34,59,25,574,718,79.9,16,49,11,1,47,26,10,57,2,20,4
Matheus Cunha,10,4,14,10,0,4.4,4.4,5.7,10.0,0.56,0.22,0.79,0.56,0.79,0.25,0.32,0.56,0.25,0.56,58,23,39.7,3.25,1.29,0.17,0.43,70,3.93,8,0.45,402,81,84,39,464,651,71.3,34,58,35,9,26,14,14,40,0,17,0
Matheus Nunes,0,3,3,0,0,0.2,0.2,2.1,2.3,0.0,0.44,0.44,0.0,0.44,0.02,0.31,0.34,0.02,0.34,4,0,0.0,0.58,0.0,0.0,0.0,27,3.92,4,0.58,274,38,21,10,337,398,84.7,16,9,19,6,20,11,5,25,2,14,0
Mathias Jensen,0,1,1,0,0,0.2,0.2,1.4,1.6,0.0,0.14,0.14,0.0,0.14,0.03,0.2,0.23,0.03,0.23,5,1,20.0,0.71,0.14,0.0,0.0,28,3.99,3,0.43,138,6,11,6,251,335,74.9,13,31,13,2,8,7,4,12,1,8,1
Mats Wieffer,1,1,2,1,0,0.5,0.5,0.6,1.0,0.19,0.19,0.38,0.19,0.38,0.09,0.1,0.19,0.09,0.19,5,2,40.0,0.96,0.38,0.2,0.5,13,2.48,2,0.38,73,9,9,4,288,334,86.2,5,29,1,0,20,11,7,27,1,11,2
Matt Doherty,1,1,2,1,0,0.6,0.6,1.3,2.0,0.1,0.1,0.2,0.1,0.2,0.06,0.14,0.2,0.06,0.2,7,2,28.6,0.7,0.2,0.14,0.5,15,1.51,2,0.2,125,19,9,5,471,578,81.5,8,48,10,1,15,10,11,26,7,31,1
Matt O'Riley,1,1,2,1,0,1.1,1.1,1.1,2.2,0.22,0.22,0.43,0.22,0.43,0.24,0.25,0.49,0.24,0.49,12,3,25.0,2.6,0.65,0.08,0.33,21,4.55,2,0.43,83,21,5,2,133,165,80.6,10,11,3,0,8,7,10,18,1,4,0
Matt Targett,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3,0,0,0,7,7,100.0,0,0,0,0,0,0,1,1,0,1,0
Matthijs de Ligt,1,0,1,1,0,1.6,1.6,0.1,1.6,0.06,0.0,0.06,0.06,0.06,0.1,0.01,0.11,0.1,0.11,11,6,54.5,0.71,0.39,0.09,0.17,6,0.39,0,0.0,29,18,2,1,880,963,91.4,2,37,1,0,15,9,25,40,14,45,0
Matty Cash,1,0,1,1,0,0.2,0.2,0.4,0.6,0.08,0.0,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05,6,3,50.0,0.5,0.25,0.17,0.33,9,0.75,0,0.0,149,25,18,10,412,514,80.2,5,23,3,2,36,19,16,52,5,29,1
Matz Sels,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,0.19,0,0.0,0,0,0,0,284,553,51.4,0,22,2,0,1,1,0,1,0,12,0
Max Aarons,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,2.09,0,0.0,15,0,2,0,50,63,79.4,0,8,0,0,2,2,1,3,1,0,0
Max Kilman,0,1,1,0,0,1.4,1.4,0.8,2.2,0.0,0.05,0.05,0.0,0.05,0.07,0.04,0.11,0.07,0.11,10,2,20.0,0.5,0.1,0.0,0.0,17,0.84,3,0.15,55,17,15,10,884,1027,86.1,10,67,2,0,16,7,24,40,23,109,3
Maxence Lacroix,1,1,2,1,0,1.5,1.5,0.3,1.8,0.06,0.06,0.11,0.06,0.11,0.08,0.02,0.1,0.08,0.1,14,2,14.3,0.78,0.11,0.07,0.5,18,1.0,3,0.17,40,16,11,8,666,812,82.0,3,50,1,0,38,22,33,71,7,97,1
Maxwel Cornet,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,1,0,0.0,1.25,0.0,0.0,0.0,0,0.0,0,0.0,13,2,1,0,17,22,77.3,0,0,0,0,5,5,0,5,0,2,0
Michael Keane,2,0,2,2,0,0.4,0.4,0.1,0.5,0.22,0.0,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06,8,3,37.5,0.89,0.33,0.25,0.67,6,0.67,0,0.0,18,14,0,0,253,308,82.1,2,17,0,0,10,7,10,20,6,50,0
Michail Antonio,1,1,2,1,0,2.2,2.2,1.6,3.8,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,19,4,21.1,2.05,0.43,0.05,0.25,22,2.37,4,0.43,151,36,27,9,114,188,60.6,9,11,6,2,2,2,0,2,0,2,0
Micky van de Ven,0,2,2,0,0,0.4,0.4,1.2,1.5,0.0,0.23,0.23,0.0,0.23,0.04,0.13,0.17,0.04,0.17,5,1,20.0,0.57,0.11,0.0,0.0,9,1.03,2,0.23,32,8,6,4,589,645,91.3,2,41,1,0,8,5,9,17,5,29,1
Miguel Almirón,0,0,0,0,0,0.5,0.5,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.27,0.12,0.39,0.27,0.39,5,1,20.0,2.92,0.58,0.0,0.0,5,2.92,0,0.0,33,7,1,0,51,63,81.0,2,3,1,0,3,2,0,3,0,0,0
Mikel Merino,2,1,3,2,0,2.0,2.0,0.9,2.9,0.27,0.13,0.4,0.27,0.4,0.27,0.12,0.39,0.27,0.39,13,5,38.5,1.75,0.67,0.15,0.4,19,2.55,2,0.27,144,34,7,3,242,310,78.1,7,22,15,2,20,12,9,29,5,11,1
Mikey Moore,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,1,0,0.0,1.06,0.0,0.0,0.0,5,5.29,0,0.0,24,3,6,1,15,22,68.2,0,0,2,0,0,0,1,1,0,0,0
Mikkel Damsgaard,2,6,8,2,0,1.9,1.9,5.3,7.2,0.12,0.35,0.47,0.12,0.47,0.11,0.31,0.42,0.11,0.42,20,7,35.0,1.17,0.41,0.1,0.29,65,3.82,15,0.88,361,37,50,26,603,813,74.2,32,82,28,6,46,27,19,65,1,25,1
Milos Kerkez,1,3,4,1,0,0.4,0.3,2.9,3.2,0.05,0.15,0.2,0.05,0.2,0.02,0.14,0.16,0.02,0.16,12,2,16.7,0.59,0.1,0.08,0.5,49,2.43,5,0.25,364,33,22,9,700,896,78.1,22,46,23,14,30,17,23,53,8,55,0
Mohamed Salah,18,13,31,13,5,16.8,12.9,8.4,21.3,0.92,0.66,1.58,0.66,1.33,0.86,0.43,1.29,0.66,1.09,75,34,45.3,3.83,1.74,0.17,0.38,92,4.7,16,0.82,569,192,70,33,440,624,70.5,42,28,55,9,9,6,4,13,0,5,0
Mohammed Kudus,3,1,4,3,0,3.8,3.8,1.9,5.7,0.21,0.07,0.28,0.21,0.28,0.27,0.13,0.4,0.27,0.4,46,14,30.4,3.2,0.97,0.07,0.21,59,4.11,1,0.07,313,69,100,47,363,432,84.0,18,24,19,10,21,14,2,23,1,2,0
Moisés Caicedo,1,2,3,1,0,0.5,0.5,2.2,2.7,0.05,0.1,0.15,0.05,0.15,0.03,0.11,0.13,0.03,0.13,11,2,18.2,0.53,0.1,0.09,0.5,58,2.81,6,0.29,284,10,28,11,1134,1280,88.6,20,139,22,2,63,38,31,94,6,32,0
Morato,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.45,0,0.0,13,0,1,1,79,119,66.4,0,2,0,0,12,9,6,18,3,45,2
Morgan Gibbs-White,4,3,7,4,0,2.2,2.2,2.9,5.1,0.27,0.2,0.47,0.27,0.47,0.15,0.2,0.34,0.15,0.34,27,14,51.9,1.81,0.94,0.15,0.29,56,3.76,8,0.54,326,51,48,21,472,607,77.8,27,73,18,2,24,8,10,34,2,14,0
Morgan Rogers,6,4,10,6,0,3.7,3.7,4.4,8.1,0.33,0.22,0.55,0.33,0.55,0.2,0.24,0.44,0.2,0.44,36,11,30.6,1.97,0.6,0.17,0.55,62,3.39,9,0.49,313,81,88,40,373,497,75.1,28,38,32,0,20,10,4,24,3,10,1
Murillo,1,0,1,1,0,1.1,1.1,0.9,2.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.1,17,4,23.5,0.86,0.2,0.06,0.25,25,1.27,1,0.05,62,12,19,15,600,766,78.3,10,54,7,0,32,23,18,50,30,137,2
Mykhailo Mudryk,0,0,0,0,0,0.3,0.3,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,1,1,100.0,0.6,0.6,0.0,0.0,6,3.6,0,0.0,38,6,8,3,28,42,66.7,2,2,2,1,2,2,0,2,1,1,0
Myles Lewis-Skelly,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0,0,0.0,0.0,0.0,0.0,0.0,4,1.09,0,0.0,69,3,7,4,195,210,92.9,3,19,0,0,13,9,2,15,0,6,0
Nathan Aké,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,3,0,0.0,0.45,0.0,0.0,0.0,6,0.9,0,0.0,57,4,1,1,439,469,93.6,0,32,1,0,9,7,3,12,2,20,1
Nathan Broadhead,0,0,0,0,0,0.7,0.7,0.4,1.1,0.0,0.0,0.0,0.0,0.0,0.2,0.11,0.31,0.2,0.31,6,4,66.7,1.76,1.18,0.0,0.0,7,2.06,1,0.29,48,5,17,9,66,84,78.6,4,6,4,0,4,2,3,7,0,3,0
Nathan Collins,2,1,3,2,0,2.2,2.2,1.3,3.5,0.1,0.05,0.14,0.1,0.14,0.1,0.06,0.16,0.1,0.16,12,5,41.7,0.57,0.24,0.17,0.4,20,0.95,5,0.24,102,40,7,4,1036,1206,85.9,5,66,4,1,24,15,19,43,29,109,0
Nathan Patterson,0,0,0,0,0,0.1,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.08,0.35,0.43,0.08,0.43,1,0,0.0,1.03,0.0,0.0,0.0,6,6.21,0,0.0,33,3,3,3,54,71,76.1,2,7,4,2,2,0,0,2,0,3,0
Nathan Wood-Gordon,0,0,0,0,0,0.2,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,2,0,0.0,0.31,0.0,0.0,0.0,3,0.47,0,0.0,27,2,5,3,346,370,93.5,1,10,0,0,9,6,4,13,5,26,2
Nathaniel Clyne,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,1,0,0.0,0.23,0.0,0.0,0.0,2,0.46,0,0.0,32,2,1,0,116,157,73.9,2,10,1,1,11,7,3,14,1,12,1
Neco Williams,0,1,1,0,0,1.0,1.0,0.5,1.5,0.0,0.08,0.08,0.0,0.08,0.08,0.04,0.13,0.08,0.13,17,5,29.4,1.41,0.41,0.0,0.0,22,1.82,2,0.17,158,15,21,8,310,420,73.8,6,20,9,3,33,20,16,49,5,51,0
Neto,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,40,62,64.5,0,2,0,0,0,0,0,0,0,1,1
Nick Pope,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.2,0,0.0,0,0,0,0,314,441,71.2,0,1,0,0,0,0,1,1,0,16,4
Niclas Füllkrug,2,1,3,2,0,1.4,1.4,1.0,2.4,0.49,0.24,0.73,0.49,0.73,0.35,0.24,0.59,0.35,0.59,8,3,37.5,1.95,0.73,0.25,0.67,11,2.67,1,0.24,43,20,3,0,53,77,68.8,7,3,1,0,2,2,0,2,0,5,0
Nicolas Jackson,9,4,13,9,0,10.7,10.7,2.6,13.2,0.53,0.23,0.76,0.53,0.76,0.63,0.15,0.78,0.63,0.78,57,27,47.4,3.34,1.58,0.16,0.33,54,3.17,9,0.53,252,104,49,17,207,275,75.3,19,16,6,1,14,8,2,16,2,14,0
Nicolás Domínguez,0,0,0,0,0,1.2,1.2,0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,12,4,33.3,1.11,0.37,0.0,0.0,12,1.11,0,0.0,150,15,4,1,424,493,86.0,3,40,2,0,38,18,18,56,6,23,0
Nikola Milenković,2,1,3,2,0,2.8,2.8,0.2,3.1,0.1,0.05,0.15,0.1,0.15,0.14,0.01,0.15,0.14,0.15,19,4,21.1,0.95,0.2,0.11,0.5,10,0.5,2,0.1,49,39,1,1,437,533,82.0,4,29,0,0,24,16,15,39,14,94,0
Noni Madueke,5,3,8,5,0,5.4,5.4,2.9,8.3,0.37,0.23,0.6,0.37,0.6,0.4,0.22,0.62,0.4,0.62,55,22,40.0,4.12,1.65,0.09,0.23,46,3.45,7,0.52,377,113,56,23,316,399,79.2,19,7,24,4,15,11,6,21,0,5,0
Noussair Mazraoui,0,1,1,0,0,0.4,0.4,0.4,0.8,0.0,0.06,0.06,0.0,0.06,0.02,0.02,0.05,0.02,0.05,9,2,22.2,0.51,0.11,0.0,0.0,26,1.46,1,0.06,199,16,32,21,933,1097,85.1,9,80,10,3,68,40,20,88,4,52,0
Nélson Semedo,0,3,3,0,0,0.4,0.4,1.8,2.2,0.0,0.19,0.19,0.0,0.19,0.03,0.12,0.14,0.03,0.14,9,4,44.4,0.57,0.25,0.0,0.0,31,1.95,5,0.32,183,13,36,18,556,689,80.7,14,46,7,3,37,22,7,44,7,66,1
Odsonne Édouard,0,0,0,0,0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.31,0.17,0.47,0.31,0.47,5,1,20.0,3.91,0.78,0.0,0.0,3,6.99,0,0.0,29,14,3,1,23,36,135.7,2,2,0,0,2,1,0,2,0,2,0
Ola Aina,2,0,2,2,0,0.6,0.6,0.5,1.1,0.1,0.0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,7,2,28.6,0.35,0.1,0.29,1.0,36,1.78,1,0.05,255,15,41,19,623,852,73.1,7,59,9,6,43,32,27,70,6,59,1
Oleksandr Zinchenko,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,1,0,0.0,0.37,0.0,0.0,0.0,6,2.22,1,0.37,49,9,1,1,169,209,80.9,1,13,1,0,2,0,3,5,0,5,0
Oliver Scarles,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5,1,1,0,8,18,44.4,0,0,0,0,1,0,0,1,1,2,0
Oliver Skipp,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,2,1,50.0,0.25,0.12,0.0,0.0,10,1.23,0,0.0,50,1,8,4,285,330,86.4,8,23,4,0,12,3,8,20,3,9,1
Ollie Watkins,9,4,13,7,2,10.8,9.2,2.2,11.4,0.56,0.25,0.81,0.43,0.68,0.67,0.14,0.81,0.57,0.71,52,22,42.3,3.22,1.36,0.13,0.32,36,2.23,6,0.37,236,107,27,5,166,222,74.8,17,8,4,0,5,3,4,9,2,6,1
Omari Hutchinson,2,1,3,2,0,1.5,1.5,2.1,3.6,0.11,0.06,0.17,0.11,0.17,0.09,0.11,0.2,0.09,0.2,25,10,40.0,1.38,0.55,0.08,0.2,45,2.49,4,0.22,334,57,85,34,394,517,76.2,17,31,11,5,21,9,7,28,1,8,1
Orel Mangala,1,0,1,1,0,0.9,0.9,0.6,1.5,0.08,0.0,0.08,0.08,0.08,0.07,0.05,0.12,0.07,0.12,14,5,35.7,1.17,0.42,0.07,0.2,22,1.83,1,0.08,143,11,24,14,397,441,90.0,7,46,8,1,14,7,19,33,2,17,1
Pablo Sarabia,1,0,1,1,0,1.8,1.8,0.4,2.2,0.45,0.0,0.45,0.45,0.45,0.8,0.19,0.99,0.8,0.99,6,6,100.0,2.67,2.67,0.17,0.17,7,3.12,1,0.45,59,11,7,4,75,119,63.0,3,10,7,0,6,3,2,8,0,2,1
Pape Matar Sarr,1,2,3,1,0,2.1,2.1,1.3,3.4,0.08,0.16,0.24,0.08,0.24,0.17,0.1,0.28,0.17,0.28,20,9,45.0,1.63,0.73,0.05,0.11,26,2.11,5,0.41,199,13,19,8,584,669,87.3,9,63,6,2,33,23,17,50,4,12,1
Patson Daka,1,0,1,1,0,0.5,0.5,0.0,0.5,0.37,0.0,0.37,0.37,0.37,0.17,0.0,0.17,0.17,0.17,7,1,14.3,2.6,0.37,0.14,1.0,3,1.12,1,0.37,35,13,5,1,31,48,64.6,0,1,1,0,6,2,0,6,1,5,0
Pau Torres,0,0,0,0,0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,8,2,25.0,0.46,0.12,0.0,0.0,11,0.64,2,0.12,74,13,14,13,936,1062,88.1,1,90,7,0,18,13,6,24,9,49,2
Paul Onuachu,0,0,0,0,0,1.0,1.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.28,0.05,0.33,0.28,0.33,13,4,30.8,3.53,1.09,0.0,0.0,4,1.09,0,0.0,47,21,13,6,50,83,60.2,3,5,0,0,3,1,1,4,0,5,0
Pedro Lima,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0,0,0.0,0.0,0.0,0.0,0.0,3,4.66,0,0.0,21,2,1,0,19,26,73.1,2,1,3,2,1,0,1,2,0,4,0
Pedro Neto,1,2,3,1,0,0.9,0.9,2.6,3.5,0.09,0.18,0.27,0.09,0.27,0.08,0.23,0.31,0.08,0.31,23,6,26.1,2.05,0.53,0.04,0.17,40,3.56,5,0.44,292,49,59,21,304,385,79.0,20,10,15,10,12,6,7,19,0,2,0
Pedro Porro,2,4,6,2,0,1.3,1.3,2.2,3.5,0.1,0.21,0.31,0.1,0.31,0.07,0.11,0.18,0.07,0.18,29,6,20.7,1.52,0.31,0.07,0.33,65,3.41,6,0.31,527,22,20,6,884,1202,73.5,32,79,35,14,38,29,20,58,11,55,1
Pervis Estupiñán,0,1,1,0,0,0.6,0.6,1.8,2.4,0.0,0.07,0.07,0.0,0.07,0.04,0.12,0.16,0.04,0.16,14,4,28.6,0.94,0.27,0.0,0.0,36,2.43,4,0.27,298,19,17,9,772,924,83.5,19,48,23,17,36,26,17,53,2,35,0
Phil Foden,4,1,5,4,0,3.3,3.3,3.9,7.2,0.32,0.08,0.39,0.32,0.39,0.26,0.31,0.57,0.26,0.57,38,11,28.9,3.0,0.87,0.11,0.36,64,5.05,5,0.39,449,59,24,8,543,640,84.8,33,26,29,5,7,3,8,15,1,5,0
Philip Billing,0,0,0,0,0,0.6,0.6,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.28,0.51,0.79,0.28,0.79,5,1,20.0,2.45,0.49,0.0,0.0,16,7.83,0,0.0,57,12,3,1,70,102,68.6,8,9,7,2,14,5,5,19,0,2,0
Radu Drăgușin,0,0,0,0,0,0.1,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,4,1,25.0,0.32,0.08,0.0,0.0,5,0.4,1,0.08,24,9,2,0,618,728,84.9,2,47,0,0,10,6,14,24,13,43,4
Raheem Sterling,0,1,1,0,0,0.6,0.6,0.2,0.8,0.0,0.43,0.43,0.0,0.43,0.28,0.07,0.35,0.28,0.35,6,0,0.0,2.6,0.0,0.0,0.0,8,3.46,1,0.43,87,22,13,6,59,79,74.7,3,2,2,0,6,4,1,7,0,2,0
Ramón Sosa,1,0,1,1,0,0.9,0.9,0.4,1.3,0.41,0.0,0.41,0.41,0.41,0.37,0.17,0.54,0.37,0.54,9,4,44.4,3.67,1.63,0.11,0.25,12,4.86,0,0.0,59,9,10,7,48,69,69.6,7,2,4,2,4,2,3,7,0,3,0
Rasmus Højlund,2,0,2,2,0,2.4,2.4,1.1,3.5,0.18,0.0,0.18,0.18,0.18,0.21,0.1,0.31,0.21,0.31,12,6,50.0,1.05,0.53,0.17,0.33,21,1.84,1,0.09,125,30,20,6,137,177,77.4,11,8,3,0,2,0,1,3,0,3,0
Rayan Aït-Nouri,3,5,8,3,0,1.5,1.5,2.2,3.7,0.16,0.26,0.42,0.16,0.42,0.08,0.12,0.19,0.08,0.19,18,4,22.2,0.94,0.21,0.17,0.75,41,2.14,7,0.37,342,47,65,32,797,951,83.8,18,43,19,4,48,29,14,62,4,41,1
Raúl Jiménez,8,2,10,5,3,8.0,5.6,2.4,8.0,0.55,0.14,0.68,0.34,0.48,0.55,0.16,0.71,0.39,0.55,49,19,38.8,3.35,1.3,0.1,0.26,29,1.98,5,0.34,236,92,24,8,217,321,67.6,10,18,3,0,18,11,7,25,4,8,2
Reece James,1,0,1,1,0,0.1,0.1,0.0,0.1,0.33,0.0,0.33,0.33,0.33,0.02,0.02,0.04,0.02,0.04,1,1,100.0,0.33,0.33,1.0,1.0,4,1.3,0,0.0,48,0,5,3,209,252,82.9,1,19,1,0,2,2,3,5,2,5,1
Reiss Nelson,1,1,2,1,0,1.1,1.1,1.0,2.1,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,12,6,50.0,2.22,1.11,0.08,0.17,31,5.73,1,0.18,212,35,35,13,232,268,86.6,13,7,15,3,9,6,5,14,0,3,0
Renato Veiga,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,3,1,33.3,1.49,0.5,0.0,0.0,1,0.49,0,0.0,27,3,5,3,118,139,84.9,0,6,1,0,9,6,1,10,1,2,0
Ricardo Pereira,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.23,0,0.0,13,1,0,0,76,88,86.4,0,8,0,0,3,2,1,4,1,0,0
Riccardo Calafiori,1,1,2,1,0,0.6,0.6,0.2,0.8,0.13,0.13,0.25,0.13,0.25,0.07,0.03,0.1,0.07,0.1,6,4,66.7,0.76,0.51,0.17,0.25,8,1.02,1,0.13,146,18,11,8,329,390,84.4,4,28,5,1,23,17,9,32,6,21,0
Richarlison,0,1,1,0,0,0.2,0.2,0.9,1.1,0.0,0.87,0.87,0.0,0.87,0.17,0.77,0.94,0.17,0.94,1,0,0.0,0.87,0.0,0.0,0.0,5,4.33,1,0.87,18,5,5,1,31,43,72.1,3,5,4,2,1,1,0,1,0,2,0
Rico Henry,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,22.5,1,22.5,1,0,0,0,2,5,40.0,0,0,0,0,0,0,1,1,0,0,0
Rico Lewis,1,2,3,1,0,1.2,1.2,0.3,1.5,0.07,0.13,0.2,0.07,0.2,0.08,0.02,0.1,0.08,0.1,9,2,22.2,0.59,0.13,0.11,0.5,26,1.69,2,0.13,327,41,14,6,802,873,91.9,7,66,12,0,25,15,11,36,4,31,1
Robert Sánchez,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,0.21,2,0.11,0,0,0,0,562,767,73.3,0,11,1,0,0,0,2,2,0,14,5
Robin Olsen,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,0,0.0,0,0,0,0,16,21,76.2,0,0,0,0,1,0,0,1,0,1,0
Rodri,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0.0,2,2.77,0,0.0,24,0,1,0,57,61,93.4,1,3,1,0,2,1,1,3,0,0,0
Rodrigo Bentancur,2,0,2,2,0,0.8,0.8,0.1,0.9,0.26,0.0,0.26,0.26,0.26,0.1,0.02,0.12,0.1,0.12,13,3,23.1,1.7,0.39,0.15,0.67,17,2.22,0,0.0,110,9,8,3,432,485,89.1,3,51,5,0,22,10,17,39,1,8,1
Rodrigo Gomes,1,0,1,1,0,0.4,0.4,0.6,1.0,0.17,0.0,0.17,0.17,0.17,0.06,0.11,0.17,0.06,0.17,4,2,50.0,0.68,0.34,0.25,0.5,11,1.87,0,0.0,110,17,10,3,131,200,65.5,7,8,11,3,16,10,4,20,1,12,1
Rodrigo Muniz,3,1,4,3,0,2.4,2.4,0.6,3.0,0.44,0.15,0.59,0.44,0.59,0.36,0.09,0.45,0.36,0.45,21,10,47.6,3.11,1.48,0.14,0.3,9,1.33,0,0.0,79,32,13,4,57,87,65.5,6,9,2,0,4,2,4,8,1,6,0
