ID,Name,Team,Pos,Price,16_pts,17_pts,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts,26_pts,27_pts,28_pts,29_pts,30_pts,31_pts,32_pts,33_pts,34_pts,35_pts,36_pts,37_pts,38_pts,tba_pts
572,Yoro,MUN,DEF,4.3,1.86635,1.61684,1.69883,1.63787,1.79061,1.50536,1.57173,1.71445,1.55223,1.84068,1.59115,1.55076,1.58061,1.67044,1.62385,1.59645,1.78067,1.61472,1.65098,1.87729,1.61488,1.80686,1.57305,0
573,Milenković,NFO,DEF,4.5,2.30383,2.72636,2.34991,2.32293,2.48928,2.36076,2.2164,2.40789,2.30132,2.50045,2.58324,2.30036,2.32466,2.27495,2.245,2.60268,2.24221,2.67092,2.30127,2.46034,2.43843,2.52908,2.42838,0
574,Pivas,NEW,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Wiley,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,Irving,WHU,MID,4.8,0.54232,0.5721,0.65011,0.54103,0.51786,0.56586,0.60172,0.54811,0.54159,0.59858,0.50512,0.64451,0.59541,0.5638,0.60021,0.60285,0.50713,0.60827,0.54865,0.57185,0.56868,0.60248,0.54201,0
577,Lindstrøm,EVE,MID,5.1,1.64444,1.9012,1.69434,2.00511,1.77318,1.93318,1.91237,1.80038,2.18415,1.85062,1.8885,1.91852,1.97486,2.08019,1.63626,1.72972,1.81032,1.76579,1.76719,1.99511,1.86602,2.02807,1.78454,1.80421
578,Calafiori,ARS,DEF,5.8,1.44133,1.90368,2.14111,2.45378,2.21044,2.25849,2.23729,2.31242,2.16709,2.27572,2.35549,2.16311,2.27885,2.29257,2.19657,2.12122,2.27906,2.09626,2.25952,2.326,2.23713,2.33019,2.35847,0
579,Sessegnon,FUL,DEF,4.2,0.37852,0.31676,0.38201,0.34046,0.32659,0.36572,0.35289,0.3228,0.37643,0.33297,0.3269,0.35887,0.35458,0.33911,0.38969,0.34193,0.34889,0.35155,0.35288,0.37895,0.32114,0.39685,0.33671,0
580,Huijsen,BOU,DEF,4.3,1.98016,2.08416,1.90409,2.06638,1.87099,2.18105,2.14838,1.93779,1.97777,2.01389,1.9789,2.02049,2.22374,1.9236,1.89583,2.08738,1.89004,2.03275,1.87439,2.22471,1.92159,2.2528,2.04189,0
581,Jørgensen,CHE,GK,4.2,0.66345,0.80148,0.69912,0.68659,0.79246,0.70235,0.67385,0.94529,0.68322,0.83805,0.88814,0.61204,0.70507,0.93965,0.74006,0.86616,0.59868,0.83829,0.65189,0.75531,0.86067,0.6939,0.76106,0
582,O'Brien,EVE,DEF,4.6,0.57811,0.53604,0.58719,0.51724,0.52848,0.5112,0.52067,0.5375,0.54843,0.54258,0.49815,0.60081,0.55119,0.52982,0.56321,0.50473,0.52219,0.51058,0.57367,0.50766,0.55104,0.49705,0.56679,0.51914
583,Townsend,IPS,DEF,4,0.1611,0.15279,0.18447,0.15843,0.16496,0.14578,0.15196,0.17824,0.13538,0.17562,0.15077,0.16693,0.16205,0.1454,0.1588,0.14827,0.17791,0.15056,0.17446,0.15132,0.14417,0.15807,0.14838,0
584,"Brereton Díaz",SOU,MID,4.9,1.37941,1.36004,1.48562,1.36224,1.44372,1.3538,1.32613,1.44087,1.30961,1.45623,1.38998,1.29439,1.21058,1.49292,1.44099,1.35517,1.38582,1.42728,1.3681,1.44322,1.29101,1.33106,1.27612,0
585,I.Sarr,CRY,MID,5.7,2.22856,2.06309,2.10951,2.50623,2.34379,2.36095,2.37739,2.46012,2.22099,2.4763,2.24937,2.40079,2.50238,2.12767,2.63228,2.37854,2.01026,2.49885,1.92427,2.47072,2.2368,2.61161,1.9107,0
586,J.Cuenca,FUL,DEF,4.4,1.49739,1.22543,1.50824,1.32566,1.26806,1.43607,1.38239,1.25456,1.48472,1.29431,1.26933,1.40689,1.39284,1.32288,1.54336,1.33776,1.36973,1.37583,1.37844,1.49489,1.24422,1.56705,1.31663,0
587,Summerville,WHU,MID,5.7,1.88156,1.99452,2.338,1.79277,1.72172,1.89057,1.98499,1.86374,1.81703,2.01949,1.64049,2.25445,2.02835,1.81853,2.10757,2.04893,1.62768,2.0577,1.86905,1.92266,1.92082,2.02937,1.9162,0
588,G.Rodríguez,WHU,MID,4.8,1.43884,1.5383,1.64505,1.46765,1.36692,1.52043,1.60194,1.42934,1.41733,1.58847,1.34267,1.67554,1.57796,1.47266,1.53683,1.59501,1.3489,1.60952,1.43045,1.53096,1.47533,1.59726,1.41011,0
589,Füllkrug,WHU,FWD,6.7,1.22304,1.36007,1.53777,1.24318,1.0887,1.36426,1.46615,1.20407,1.1762,1.44796,1.05416,1.53078,1.39745,1.29655,1.39184,1.43282,1.07377,1.51672,1.24696,1.34384,1.27952,1.45259,1.29091,0
590,Osula,NEW,FWD,5,0.31458,0.28604,0.2689,0.28309,0.27187,0.29957,0.28958,0.35953,0.27201,0.22725,0.29529,0.22331,0.3101,0.2997,0.29403,0.32216,0.27673,0.26086,0.28332,0.2735,0.24909,0.2174,0.30588,0
591,Todibo,WHU,DEF,4.3,2.26034,2.12599,2.30412,2.18565,2.52609,2.09263,2.1099,2.43883,2.4572,2.12806,2.49683,2.25051,2.21312,2.19139,2.32758,2.18707,2.43205,2.04703,2.2911,2.17364,2.36249,2.14336,2.11425,0
592,J.Araujo,BOU,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,"De Ligt",MUN,DEF,5,2.87644,2.56382,2.74299,2.58455,2.76851,2.42797,2.48221,2.73517,2.47968,2.89395,2.5655,2.46547,2.45568,2.71529,2.60193,2.47934,2.79812,2.57338,2.62544,2.957,2.5709,2.8241,2.48104,0
594,Mazraoui,MUN,DEF,4.7,2.60692,2.36544,2.40242,2.38841,2.50247,2.22923,2.29442,2.41574,2.28596,2.58462,2.24427,2.27105,2.28875,2.36212,2.29036,2.30878,2.49909,2.36831,2.3244,2.63828,2.36639,2.53339,2.29307,0
595,Gruda,BHA,MID,5.4,0.89749,0.91127,0.90818,0.83701,0.79452,0.84219,0.86429,0.91861,0.84502,0.86286,1.00272,0.92043,0.86036,0.78598,0.87549,0.86719,0.99351,0.89684,0.94396,0.91054,0.92473,0.82156,0.86665,0
596,"Jota Silva",NFO,MID,5.9,2.0656,2.10285,2.057,1.92246,2.20187,1.93516,2.21641,1.92033,2.09818,2.04493,1.93125,1.82466,1.87996,2.00618,2.03804,1.95948,2.19152,2.03254,2.17581,2.01083,2.42544,2.1658,2.06581,0
597,Lewis-Skelly,ARS,MID,4.5,0.1737,0.168,0.16595,0.17026,0.1596,0.16398,0.16224,0.1752,0.15354,0.17931,0.17515,0.16205,0.16592,0.161,0.16228,0.16493,0.17201,0.15709,0.1735,0.17314,0.14738,0.17083,0.19046,0
598,Bogarde,AVL,DEF,4,0.29278,0.28753,0.32919,0.27628,0.28907,0.28616,0.34774,0.2813,0.30447,0.2693,0.29979,0.30614,0.34674,0.29219,0.30527,0.27556,0.29339,0.28935,0.351,0.27148,0.30011,0.28551,0.31523,0
599,Dennis,BOU,GK,4,0.00682,0.00845,0.00685,0.00806,0.0065,0.0085,0.00829,0.00674,0.00756,0.00883,0.00672,0.00806,0.00845,0.00662,0.00595,0.00772,0.00699,0.00759,0.00693,0.0091,0.00671,0.00916,0.00704,0
600,Ayari,BHA,MID,5,1.76143,1.79162,1.76283,1.65803,1.57804,1.65894,1.70475,1.7732,1.67384,1.67897,1.92128,1.77438,1.67827,1.57786,1.69741,1.71318,1.88896,1.75172,1.80798,1.75756,1.79583,1.61543,1.70654,0
601,Moran,BHA,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,Trevitt,BRE,MID,4.5,0.03327,0.03628,0.03366,0.03247,0.03939,0.03257,0.03287,0.03516,0.03457,0.0366,0.03724,0.03636,0.03431,0.03342,0.03375,0.03405,0.03122,0.03459,0.03409,0.03442,0.03325,0.03424,0.03657,0
603,Armstrong,EVE,MID,4.5,0.28673,0.31436,0.29011,0.33722,0.30647,0.31423,0.31758,0.30923,0.36282,0.32664,0.316,0.33231,0.34302,0.3418,0.28224,0.29415,0.31421,0.29504,0.30472,0.32234,0.32506,0.34073,0.31031,0.29821
604,King,FUL,MID,4.5,0.26341,0.30527,0.28167,0.30396,0.29373,0.31078,0.31558,0.2886,0.28615,0.3039,0.30384,0.31099,0.28585,0.28986,0.26442,0.27588,0.28349,0.2856,0.33504,0.28559,0.3046,0.303,0.27343,0
605,Godo,FUL,MID,4.5,0.00692,0.00808,0.00737,0.00802,0.00777,0.00811,0.00823,0.0076,0.00747,0.00801,0.00799,0.00812,0.00747,0.00764,0.00691,0.00726,0.0074,0.00753,0.00875,0.00746,0.00803,0.00791,0.00719,0
606,Alves,LEI,MID,4.5,0.00779,0.00852,0.00722,0.0075,0.00778,0.00833,0.00789,0.00804,0.00794,0.00746,0.0083,0.00846,0.00769,0.00792,0.00738,0.00827,0.00779,0.00757,0.00847,0.00842,0.00787,0.0081,0.00772,0
607,O’Reilly,MCI,MID,4.9,0.01005,0.00974,0.0106,0.01062,0.01082,0.01032,0.00975,0.01003,0.00901,0.01051,0.00963,0.01003,0.00983,0.01017,0.01132,0.01002,0.0105,0.00983,0.01014,0.01086,0.01135,0.01061,0.01009,0
608,Dibling,SOU,MID,4.5,1.65482,1.63833,1.76587,1.63474,1.71495,1.62389,1.59032,1.71127,1.56802,1.72974,1.64996,1.55245,1.45265,1.77238,1.71303,1.62543,1.64408,1.71192,1.62459,1.73229,1.53379,1.59804,1.51722,0
